order_id,product_id,cost_price,list_price,quantity,discount_percent,discount,sale_price,profit
1,FUR-BO-10001798,240,260,2,2,5.2,254.8,14.800000000000011
2,FUR-CH-10000454,600,730,3,3,21.9,708.1,108.10000000000002
3,OFF-LA-10000240,10,10,2,5,0.5,9.5,-0.5
4,FUR-TA-10000577,780,960,5,2,19.2,940.8,160.79999999999995
5,OFF-ST-10000760,20,20,2,5,1.0,19.0,-1.0
6,FUR-FU-10001487,50,50,7,3,1.5,48.5,-1.5
7,OFF-AR-10002833,10,10,4,3,0.3,9.7,-0.3000000000000007
8,TEC-PH-10002275,860,910,6,5,45.5,864.5,4.5
9,OFF-BI-10003910,20,20,3,2,0.4,19.6,-0.3999999999999986
10,OFF-AP-10002892,90,110,5,3,3.3,106.7,16.700000000000003
11,FUR-TA-10001539,1470,1710,9,3,51.3,1658.7,188.70000000000005
12,TEC-PH-10002033,750,910,4,3,27.3,882.7,132.70000000000005
13,OFF-PA-10002365,20,20,3,3,0.6,19.4,-0.6000000000000014
14,OFF-BI-10003656,360,410,3,2,8.2,401.8,41.80000000000001
15,OFF-AP-10002311,60,70,5,5,3.5,66.5,6.5
16,OFF-BI-10000756,0,0,3,5,0.0,0.0,0.0
17,OFF-ST-10004186,610,670,6,3,20.1,649.9,39.89999999999998
18,OFF-ST-10000107,60,60,2,4,2.4,57.6,-2.3999999999999986
19,OFF-AR-10003056,10,10,2,4,0.4,9.6,-0.40000000000000036
20,TEC-PH-10001949,170,210,3,3,6.3,203.7,33.69999999999999
21,OFF-BI-10002215,20,20,4,2,0.4,19.6,-0.3999999999999986
22,OFF-AR-10000246,20,20,7,4,0.8,19.2,-0.8000000000000007
23,OFF-AP-10001492,50,60,7,3,1.8,58.2,8.200000000000003
24,FUR-CH-10002774,60,70,2,4,2.8,67.2,7.200000000000003
25,FUR-TA-10000577,900,1040,3,5,52.0,988.0,88.0
26,OFF-BI-10001634,10,10,2,5,0.5,9.5,-0.5
27,TEC-AC-10003027,80,90,3,3,2.7,87.3,7.299999999999997
28,FUR-BO-10004834,2740,3080,7,3,92.4,2987.6,247.5999999999999
29,OFF-BI-10000474,10,10,2,5,0.5,9.5,-0.5
30,FUR-FU-10004848,100,120,3,4,4.8,115.2,15.200000000000003
31,OFF-EN-10001509,0,0,2,5,0.0,0.0,0.0
32,OFF-AR-10004042,70,90,6,4,3.6,86.4,16.400000000000006
